"","scientific_name","common_name","partner_names","total","FedAg_w_collab","wo_FedAg_w_collab","count_w_FedAg_wo_collab","count_wo_FedAg_wo_collab","count_collab","count_w_FedAg_w_collab","count_wo_FedAg_w_collab"
"36","Centrocercus urophasianus","GREATER SAGE-GROUSE - Columbia basin DPS",NA,NA,"","",NA,NA,NA,0,0
"37","Centrocercus urophasianus","GREATER SAGE-GROUSE -Wherever found",NA,NA,"","",NA,NA,NA,0,0
"38","Horkelia hendersonii","HENDERSON'S HORKELIA","USFS, USFWS",2,"USFWS Oregon State Office, USFS Rouge River National Forest, USFS Nalamath National Forest,Oregon Plant Conservation Program, Oregon Natural Heritage Program","USFWS, USFS,Oregon Plant Conservation Program, Oregon Natural Heritage Program",3,2,2,5,4
"39","Cicindelidia highlandensis","HIGHLANDS TIGER BEETLE",NA,NA,"","",NA,NA,NA,0,0
"40","Pseudanophthalmus holsingeri","HOLSINGER'S CAVE BEETLE",NA,NA,"","",NA,NA,NA,0,0
"41","Pediocactus paradinei","KAIBAB PLAINS CACTUS","USFS, BLM, USFWS",3,"USFS, BLM, USFWS","USFS, BLM, USFWS",3,3,NA,3,3
"42","Stygobromus kenki","KENK'S AMPHIPOD",NA,NA,"","",NA,NA,NA,0,0
"43","Iotichthys phlegethontis","LEAST CHUB","Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority",7,"Utah Department of Natural Resources,  BLM Provo Area Office, Bureau of Reclamation Upper Colorado Region, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority,Utah Department of Natural Resources","Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority,Utah Department of Natural Resources",7,7,1,8,8
"44","Pseudanophthalmus catorycetes","LESSER ADAMS CAVE BEETLE","USFWS",1,"USFWS,Southern conservation corporation","USFWS,Southern conservation corporation",1,1,1,2,2
"45","Polites mardon","MARDON SKIPPER",NA,NA,"","",NA,NA,NA,0,0
"46","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","USFWS,  USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",8,"USFWS Sacramento Fish and Wildlife office, USFS Shasta Trinity National Forest,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors","USFWS, USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",8,8,NA,8,8
"47","Clarkia lingulata","MERCED CLARKIA","USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric",5,"USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric","USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric",5,5,NA,5,5
"48","Cordylanthus nidularius","MT. DIABLO BIRDÍS-BEAK",NA,NA,"","",NA,NA,NA,0,0
"49","Ambrysus funebris","NEVARES SPRING NAUCORID BUG (=FURNACE CREEK)","Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, NPS",3,"Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, NPS  Death Valley Office,Desert Research Institute, Department of Forest and Rangeland Stewardship Colorado State University","Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, NPS,Desert Research Institute, Department of Forest and Rangeland Stewardship Colorado State University",3,3,2,5,5
"50","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","USGS, NRCS, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy and Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries and Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department",52,"USGS, NRCS, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy and Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries and Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department,EDF","USGS, NRCS, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy and Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries and Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department,EDF",52,52,1,53,53
"51","Coccoloba rugosa","NO COMMON NAME",NA,NA,"","",NA,NA,NA,0,0
"52","Hazardia orcuttii","ORCUTTS'S HAZARDIA","City of NCCP, USFWS, City of Carlsbad, City of San Marcos, California Department of Fish and Game, California Resources Agency",6,"City of NCCP, USFWS, City of Carlsbad, City of San Marcos, California Department of Fish and Game, California Resources Agency,Center for Natural Lands Management","City of NCCP, USFWS, City of Carlsbad, City of San Marcos, California Department of Fish and Game, California Resources Agency,Center for Natural Lands Management",6,6,1,7,7
"53","Sidalcea covillei","OWENS VALLEY CHECKERMALLOW",NA,NA,"","",NA,NA,NA,0,0
"54","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","Arizona Game and Fish Department, USFWS",2,"Arizona Game and Fish Department, USFWS Region 2, Arizona Ecological Services Field Office,unspecified landowners, USGS, NPS, Yavapai County, Verde Watershed Association","Arizona Game and Fish Department, USFWS,unspecified landowners, USGS, NPS, Yavapai County, Verde Watershed Association",3,2,5,8,7
"55","Limnanthes gracilis parishii","PARISH'S MEADOWNFOAM",NA,NA,"","",NA,NA,NA,0,0
"56","Lithobates subaquavocalis","RAMSEY CANYON LEOPARD FROG",NA,NA,"","",NA,NA,NA,0,0
"57","Abronia alpina","RAMSHAW MEADOWS SAND-VERBANA",NA,NA,"","",NA,NA,NA,0,0
"58","Collomia rawsoniana","RAWSONÍS FLAMING TRUMPET",NA,NA,"","",NA,NA,NA,0,0
"59","Lithobates onca","RELICT LEOPARD FROG","USFWS,  Nevada Department of Wildlife",2,"USFWS Southern Nevada Fish and Wildlife Office,  Nevada Department of Wildlife,cooperator (unspecified landowner)","USFWS,  Nevada Department of Wildlife,cooperator (unspecified landowner)",2,2,1,3,3
